imgstem_version,texts,text_controls,clipscore
95403,Petition from Minnie Fisher Cunningham of the Texas Woman Suffrage Association,Petition from Minnie Fisher Cunningham of the Texas Woman Suffrage Association,0.9072265625
11222,1870s dress,1870s dress,0.767578125
50491," The zinc works at Lutana is the largest exporter in Tasmania, generating 2.5% of the state's GDP. In 2009, it produced over 250,000 tonnes of zinc."," The zinc works at Lutana is the largest exporter in Tasmania, generating 2.5% of the state's GDP. In 2009, it produced over 250,000 tonnes of zinc.",0.5419921875
50174,Star Trek: The Next Generation first-season cast photo. Six of the main actors appeared in all seven seasons and all four movies.,Star Trek: The Next Generation first-season cast photo. Six of the main actors appeared in all seven seasons and all four movies.,0.87646484375
20254,Ravine Hall is a coed residence hall currently housing students of all class years.,Ravine Hall is a coed residence hall currently housing students of all class years.,0.7236328125
81408,"Houston defeated Air Force in the 2008 Armed Forces Bowl, to end their eight bowl game losing streak.","Houston defeated Air Force in the 2008 Armed Forces Bowl, to end their eight bowl game losing streak.",0.92041015625
38530,Chris Judd won the 2004 Brownlow Medal in the same year he won the John Worsfold Medal.,Chris Judd won the 2004 Brownlow Medal in the same year he won the John Worsfold Medal.,0.81982421875
88343,"Ismail Hakki left all his money (ten purses) to pay for the construction of this mosque at smail Hakk Kuran Kursu, Tuzpazar, smail Hakk Cd., 16020 Osmangazi, Bursa, Turkey","Ismail Hakki left all his money (ten purses) to pay for the construction of this mosque at smail Hakk Kuran Kursu, Tuzpazar, smail Hakk Cd., 16020 Osmangazi, Bursa, Turkey",0.7646484375
76366,"""Necessary equipment for money transfer"", a caricature by Oscar Schmerling from the Georgian press, 1906","""Necessary equipment for money transfer"", a caricature by Oscar Schmerling from the Georgian press, 1906",0.7919921875
65805,Open Flowers,Open Flowers,0.7109375
48354,"The Cottage on the Coonley Estate, first home of the Avery Coonley School. Designed by Charles Whittlesey in 1894, it later became a private residence.","The Cottage on the Coonley Estate, first home of the Avery Coonley School. Designed by Charles Whittlesey in 1894, it later became a private residence.",0.73486328125
60889,"Beyonc seated with her hair styled in a curly afro beside her two back-up dancers in the music video for ""Ego"".","Beyonc seated with her hair styled in a curly afro beside her two back-up dancers in the music video for ""Ego"".",0.845703125
97513,The southbound platform of the Atherton station. The town of Atherton has backed litigation against Caltrain's electrification plans.,The southbound platform of the Atherton station. The town of Atherton has backed litigation against Caltrain's electrification plans.,0.83251953125
57497,"Relief from a carved funerary lekythos at the National Archaeological Museum of Athens: Hermes conducts the deceased, Myrrhine, to Hades, c. 430420 BCE","Relief from a carved funerary lekythos at the National Archaeological Museum of Athens: Hermes conducts the deceased, Myrrhine, to Hades, c. 430420 BCE",0.76611328125
41698,Suspension footbridge at Storms River,Suspension footbridge at Storms River,0.94140625
93002,Stuart Rowlands with Michael and Mario Andretti in Mario's trophy room during production of New Kid on the Block,Stuart Rowlands with Michael and Mario Andretti in Mario's trophy room during production of New Kid on the Block,0.86328125
55612,Iconic Fish Sign,Iconic Fish Sign,0.7353515625
12976,An MRI image of a brain tumor occupying the left temporal and parieto-occipital regions of the brain.,An MRI image of a brain tumor occupying the left temporal and parieto-occipital regions of the brain.,0.806640625
63239,Former Sounder Eddie Johnson has 63 caps for the United States.,Former Sounder Eddie Johnson has 63 caps for the United States.,0.791015625
77193,Self-portrait 2010,Self-portrait 2010,0.63232421875
35502,Battersea Railway Bridge,Battersea Railway Bridge,0.7802734375
5997,"A sign made of driftwood in Hokitika, New Zealand","A sign made of driftwood in Hokitika, New Zealand",0.76171875
61628,Television Zagreb set up its studio in ubieva Street in 1962,Television Zagreb set up its studio in ubieva Street in 1962,0.658203125
97069,The Military Hall was another winning design in architectural competitions encouraging entries to have Japonesque components. Today the building is known as Kudan Hall in Kudanminami,The Military Hall was another winning design in architectural competitions encouraging entries to have Japonesque components. Today the building is known as Kudan Hall in Kudanminami,0.76220703125
58832,The Drom-Inch clubhouse.,The Drom-Inch clubhouse.,0.81591796875
102105,Photo by Dana Goldberg,Photo by Dana Goldberg,0.6328125
93127,Basu at the audio release of Creature 3D,Basu at the audio release of Creature 3D,0.76611328125
58711,"Mara, Todd Haynes, and Cate Blanchett promoting Carol at the 2015 Cannes Film Festival","Mara, Todd Haynes, and Cate Blanchett promoting Carol at the 2015 Cannes Film Festival",1.00390625
84241,Pierce Brosnan at the 2002 Cannes Film Festival,Pierce Brosnan at the 2002 Cannes Film Festival,0.82470703125
31385,New Orleans lithograph from 1852,New Orleans lithograph from 1852,0.849609375
83907,New Zealand encampment at Anzac,New Zealand encampment at Anzac,0.814453125
95531,Nicolas Maison,Nicolas Maison,0.6630859375
78069,"Beyonc performing on a piano, singing the opening track of 4 ""1+1"" on The Mrs. Carter Show World Tour","Beyonc performing on a piano, singing the opening track of 4 ""1+1"" on The Mrs. Carter Show World Tour",0.8662109375
56653,Map showing each country's number of Junior Eurovision Song Contest wins,Map showing each country's number of Junior Eurovision Song Contest wins,0.75390625
91516,The Hungarians' arrival in the Carpathian Basin depicted in the Illuminated Chronicle,The Hungarians' arrival in the Carpathian Basin depicted in the Illuminated Chronicle,0.8701171875
14943,Glitch - Guardian Bob's keytool,Glitch - Guardian Bob's keytool,0.62109375
84033,Patton (pictured) and Ictus Ensemble performed Laborintus II live in 2010.,Patton (pictured) and Ictus Ensemble performed Laborintus II live in 2010.,0.64404296875
9766,18th-century Nepali manuscript depicting Dhumavati in more erotic fashion,18th-century Nepali manuscript depicting Dhumavati in more erotic fashion,0.7568359375
68785,Figure 1: The molar extinction coefficients of HbO2 and Hb.,Figure 1: The molar extinction coefficients of HbO2 and Hb.,0.6806640625
69885, View of Sundernagar from JNGEC., View of Sundernagar from JNGEC.,0.6416015625
13419,Valmy obelisk with statue of Kellermann,Valmy obelisk with statue of Kellermann,0.72998046875
9603,Remains of the Hathor shrine in the Timna Valley,Remains of the Hathor shrine in the Timna Valley,0.8701171875
45538,The skeletal formula of ethylene propylene rubber.,The skeletal formula of ethylene propylene rubber.,0.5869140625
98680,"Members of the U.S. 3rd Cavalry sent to quell rioting in D.C. on July 21, 1919","Members of the U.S. 3rd Cavalry sent to quell rioting in D.C. on July 21, 1919",0.8291015625
61148,Pre-1900 sales brochure and examples of products,Pre-1900 sales brochure and examples of products,0.71728515625
29082,"Two episodes from the Passion-cycle murals of ja Church, Gotland.","Two episodes from the Passion-cycle murals of ja Church, Gotland.",0.794921875
81880,Cerebral autoregulation,Cerebral autoregulation,0.73828125
20099,"Benet is owned and operated by the St. Procopius Abbey and many of the Benedictine community's monks have taught at the school, as seen here in 1984","Benet is owned and operated by the St. Procopius Abbey and many of the Benedictine community's monks have taught at the school, as seen here in 1984",0.8271484375
7947,"Sry at anchor in the Kurile Islands, shortly before the start of the Pacific War","Sry at anchor in the Kurile Islands, shortly before the start of the Pacific War",0.8134765625
80059,Fig.2-Planes,Fig.2-Planes,0.8125
95982,The United States Post Office Department issued this stamp for the 300th anniversary of Maryland.,The United States Post Office Department issued this stamp for the 300th anniversary of Maryland.,0.810546875
72025,"Source of the Glacier, 1920.","Source of the Glacier, 1920.",0.671875
79714,Robert E. Lee would be blamed for the Confederate defeats in western Virginia,Robert E. Lee would be blamed for the Confederate defeats in western Virginia,0.80078125
106075,"Four mongooses (clockwise from top left): meerkat (Suricata suricatta), yellow mongoose (Cynictis penicillata), Indian grey mongoose (Herpestes edwardsi), and slender mongoose (Galerella sanguinea)","Four mongooses (clockwise from top left): meerkat (Suricata suricatta), yellow mongoose (Cynictis penicillata), Indian grey mongoose (Herpestes edwardsi), and slender mongoose (Galerella sanguinea)",0.927734375
79165,Phillip Gonyea performing with Los Angeles heavy metal band Before the Mourning,Phillip Gonyea performing with Los Angeles heavy metal band Before the Mourning,0.744140625
25218,Morningside Park's play fields,Morningside Park's play fields,0.90625
101638,"Commemorative Plaque at Kuglerstr 44, Berlin-Prenzlauer Berg","Commemorative Plaque at Kuglerstr 44, Berlin-Prenzlauer Berg",0.78662109375
88653,Kinuta or Beauty Fulling Cloth in the Moonlight (19th century Edo period) by Katsushika i,Kinuta or Beauty Fulling Cloth in the Moonlight (19th century Edo period) by Katsushika i,0.67431640625
43556,Monastery at Herina (c.1200),Monastery at Herina (c.1200),0.76416015625
21658,Evanescence performing in Denver in 2003,Evanescence performing in Denver in 2003,0.83056640625
97510,Commuter rail service along the San Francisco Peninsula has been using diesel locomotives (EMD F40PH pictured above) since the early 1950s; they will be replaced with electric trainsets in the 2020s.,Commuter rail service along the San Francisco Peninsula has been using diesel locomotives (EMD F40PH pictured above) since the early 1950s; they will be replaced with electric trainsets in the 2020s.,0.76611328125
20841,"Tree canopy over the Merritt, and grassy median","Tree canopy over the Merritt, and grassy median",0.845703125
22383,"Drugs affecting the cardiac action potential. The sharp rise in voltage (""0"") corresponds to the influx of sodium ions, whereas the two decays (""1"" and ""3"", respectively) correspond to the sodium-channel inactivation and the repolarizing efflux of potassium ions. The characteristic plateau (""2"") results from the opening of voltage-sensitive calcium channels.","Drugs affecting the cardiac action potential. The sharp rise in voltage (""0"") corresponds to the influx of sodium ions, whereas the two decays (""1"" and ""3"", respectively) correspond to the sodium-channel inactivation and the repolarizing efflux of potassium ions. The characteristic plateau (""2"") results from the opening of voltage-sensitive calcium channels.",0.6484375
15596,Alaska Airlines operations at SeattleTacoma International Airport,Alaska Airlines operations at SeattleTacoma International Airport,0.8974609375
95974,"Series creator, star, and co-producer Seth MacFarlane in 2012","Series creator, star, and co-producer Seth MacFarlane in 2012",0.8681640625
33269,Oil refinery in Esmeraldas,Oil refinery in Esmeraldas,0.818359375
14007,"Underoath, one of the more prominent metalcore groups.","Underoath, one of the more prominent metalcore groups.",0.84765625
50881,"A hanging-scroll portrait painting of Emperor Taizu of Song (r. 960976), founder of the Song dynasty, painted by an anonymous Song artist","A hanging-scroll portrait painting of Emperor Taizu of Song (r. 960976), founder of the Song dynasty, painted by an anonymous Song artist",0.89892578125
95454,"Priyanka Chopra plays the series' protagonist, Alex Parrish.","Priyanka Chopra plays the series' protagonist, Alex Parrish.",0.6962890625
27061,"Fu Sheng expounding on the Classic, attributed to Wang Wei (8th century)","Fu Sheng expounding on the Classic, attributed to Wang Wei (8th century)",0.82958984375
87913,"Sir Henry Clinton, British Commander, 17781782","Sir Henry Clinton, British Commander, 17781782",0.8349609375
47638,"Original location of Red River Radio (former studios and offices of KDAQ), Shreveport, Louisiana","Original location of Red River Radio (former studios and offices of KDAQ), Shreveport, Louisiana",0.890625
80171,Don Hutchison (pictured in 2013) fell and badly injured his shoulder.,Don Hutchison (pictured in 2013) fell and badly injured his shoulder.,0.7158203125
25407,Williams at the Berlin International Film Festival for the premiere of Shutter Island in 2010,Williams at the Berlin International Film Festival for the premiere of Shutter Island in 2010,0.6826171875
17773,"This entire porch was rebuilt by a handyman, including the substructure, columns, railings (1x1s and moldings), and door surrounds; replacing a porch is a difficult project for amateurs.","This entire porch was rebuilt by a handyman, including the substructure, columns, railings (1x1s and moldings), and door surrounds; replacing a porch is a difficult project for amateurs.",0.71484375
41709,"The song is set in a brightly lit city filled with advertisements, such as Tokyo.","The song is set in a brightly lit city filled with advertisements, such as Tokyo.",0.8759765625
39287,Part of the original ventilation system.,Part of the original ventilation system.,0.76171875
51952,"MK Stalin, the younger brother of Azhagiri","MK Stalin, the younger brother of Azhagiri",0.8447265625
88994,Yelena Vlbe won five medals in Albertville.,Yelena Vlbe won five medals in Albertville.,0.55712890625
14690,"Illustration for ""To Autumn"" by William James Neatby, from A Day with Keats, 1899","Illustration for ""To Autumn"" by William James Neatby, from A Day with Keats, 1899",0.79345703125
96994,Johnson celebrating winning the 2013 AAA 400.,Johnson celebrating winning the 2013 AAA 400.,0.77880859375
99293,"Letitia Wright, who appeared in series four episode ""Black Museum"" as Nish, was nominated for an Emmy.","Letitia Wright, who appeared in series four episode ""Black Museum"" as Nish, was nominated for an Emmy.",0.86328125
98588,"An indoor antenna, part of the distributed antenna system installed by Transit Wireless inside a station","An indoor antenna, part of the distributed antenna system installed by Transit Wireless inside a station",0.763671875
59448,Natalie Wood and Dean in Rebel Without a Cause (1955),Natalie Wood and Dean in Rebel Without a Cause (1955),0.7939453125
29742,Licancabur across Laguna Verde,Licancabur across Laguna Verde,0.86474609375
51155,"The predecessor to SR506, Secondary State Highway1P (SSH1P), pictured in a topographic map paralleling the Longview, Portland and Northern Railway in 1951.","The predecessor to SR506, Secondary State Highway1P (SSH1P), pictured in a topographic map paralleling the Longview, Portland and Northern Railway in 1951.",0.8115234375
33382,The banks of the Gomti in Jaunpur,The banks of the Gomti in Jaunpur,0.8037109375
41108,Mansions and hotels on the steep cliffs.,Mansions and hotels on the steep cliffs.,0.7626953125
20842,An entrance sign to the Merrit Parkway with the white-on-green and sawtooth border,An entrance sign to the Merrit Parkway with the white-on-green and sawtooth border,0.791015625
71523,Project 675 (Echo II class) submarine,Project 675 (Echo II class) submarine,0.8291015625
87798,PERCY ABBOTT MAGICAL YEARS,PERCY ABBOTT MAGICAL YEARS,0.7919921875
4911,"Sam Walton's original Walton's Five and Dime Store in Bentonville, Arkansas, now serving as The Walmart Museum","Sam Walton's original Walton's Five and Dime Store in Bentonville, Arkansas, now serving as The Walmart Museum",0.953125
51438,James Strachan in 1908,James Strachan in 1908,0.751953125
18200,House on Bath Street,House on Bath Street,0.6943359375
6773,Ralph McQuarrie's concept art for the A-wing. Bluescreen limitations meant the blue parts of the craft were instead dark red on the production model. The A-wings in Star Wars Rebels use McQuarrie's original blue-and-white color scheme.,Ralph McQuarrie's concept art for the A-wing. Bluescreen limitations meant the blue parts of the craft were instead dark red on the production model. The A-wings in Star Wars Rebels use McQuarrie's original blue-and-white color scheme.,0.8486328125
32088,Jody Watley in a 1950s black sequined cocktail dress in 1990,Jody Watley in a 1950s black sequined cocktail dress in 1990,0.7841796875
73690,"'Jason, greet your lady for me and tell her that you have spoken to me when I was a white knight, and now a red knightfor I cannot stay.'","'Jason, greet your lady for me and tell her that you have spoken to me when I was a white knight, and now a red knightfor I cannot stay.'",0.615234375
13873,"Rock blasting at the large open-pit Twin Creeks gold mine in Nevada, United States. Note the size of the excavators for scale (foreground, left), and that the bottom of the mine is not visible.","Rock blasting at the large open-pit Twin Creeks gold mine in Nevada, United States. Note the size of the excavators for scale (foreground, left), and that the bottom of the mine is not visible.",0.791015625
86666,Hara Zaish's Tenshji grave marker (2nd name from right),Hara Zaish's Tenshji grave marker (2nd name from right),0.6923828125
59989,A sketch of Bedell-Sivright published prior to his tour of Australia with the 1904 British Isles team,A sketch of Bedell-Sivright published prior to his tour of Australia with the 1904 British Isles team,0.84375
36222,"Butter tea churns, Sera Monastery, Tibet","Butter tea churns, Sera Monastery, Tibet",0.806640625
56429,The classification of Romance languages,The classification of Romance languages,0.685546875
12887,A Jallikattu match,A Jallikattu match,0.91259765625
56674,Architectural historian S.Allen Chambers compared Literary Hall's architectural design with that of the Romney Presbyterian Church.,Architectural historian S.Allen Chambers compared Literary Hall's architectural design with that of the Romney Presbyterian Church.,0.7568359375
31236,Heisman at Auburn,Heisman at Auburn,0.5673828125
14519,"Carry Nation Home in Medicine Lodge, Kansas","Carry Nation Home in Medicine Lodge, Kansas",0.74462890625
84030,"Shane Williams, pictured in 2008 with his club team, Ospreys","Shane Williams, pictured in 2008 with his club team, Ospreys",0.8369140625
84353,Director Doug Liman at the Paris premiere of the film,Director Doug Liman at the Paris premiere of the film,0.89892578125
74951,"Series 1 introduces the Crawley Family, headed by the 7th Earl of Grantham (Hugh Bonneville) and his wife Cora (Elizabeth McGovern).","Series 1 introduces the Crawley Family, headed by the 7th Earl of Grantham (Hugh Bonneville) and his wife Cora (Elizabeth McGovern).",0.58984375
16679,Cases for SFC games in Japan and PAL regions (top) and North American (bottom) regions. Notice the slots in the bottom cartridge to accommodate for plastic tabs in the North American console.,Cases for SFC games in Japan and PAL regions (top) and North American (bottom) regions. Notice the slots in the bottom cartridge to accommodate for plastic tabs in the North American console.,0.95263671875
50757,"Animaniacs had a large cast of characters, most of whom appear here.","Animaniacs had a large cast of characters, most of whom appear here.",0.84716796875
13161,Fellow soul singer Renaldo Benson inspired Gaye to write about political themes and social change in his music.,Fellow soul singer Renaldo Benson inspired Gaye to write about political themes and social change in his music.,0.73974609375
45238,"Toowoomba netball team, 1932.","Toowoomba netball team, 1932.",0.94970703125
104561,Personal belongings of Harvey Milk (1930-1978) on display during the preview of The GLBT History Museum in San Francisco's Castro District.,Personal belongings of Harvey Milk (1930-1978) on display during the preview of The GLBT History Museum in San Francisco's Castro District.,0.82763671875
93928,"Dilantha Malagamuwa at the Lamborghini Super Trofeo world finals 2016, at the Circuit Ricardo Tormo in Valencia, Spain","Dilantha Malagamuwa at the Lamborghini Super Trofeo world finals 2016, at the Circuit Ricardo Tormo in Valencia, Spain",0.65966796875
57502,"Ligier Richier, Cadaver Tomb of Ren of Chalon, c. 154547","Ligier Richier, Cadaver Tomb of Ren of Chalon, c. 154547",0.8720703125
41017,Schematic of typical fatigue-crack-growth behavior,Schematic of typical fatigue-crack-growth behavior,0.73193359375
71500,RBK International Academy,RBK International Academy,0.70068359375
23425,"Spider-Man throws a punch through the chest of Sandman, portrayed by Thomas Haden Church.","Spider-Man throws a punch through the chest of Sandman, portrayed by Thomas Haden Church.",0.8798828125
74635,100 ruble gold coin minted in 1978 with the image of the Krylatskoye Rowing Canal to commemorate the 1980 Summer Olympics,100 ruble gold coin minted in 1978 with the image of the Krylatskoye Rowing Canal to commemorate the 1980 Summer Olympics,1.02734375
49340,Abeokuta in 1929,Abeokuta in 1929,0.75439453125
1426,Aurorae are mostly caused by energetic electrons precipitating into the atmosphere.,Aurorae are mostly caused by energetic electrons precipitating into the atmosphere.,0.779296875
65787,"Co-creator Loren Bouchard directed ""Get Away From My Mom.""","Co-creator Loren Bouchard directed ""Get Away From My Mom.""",0.69873046875
34199,"High-resolution epitope maps of antibodies against Ebola glycoprotein (GP), determined using shotgun mutagenesis epitope mapping. Epitope maps provide data for determining mechanism of action (MOA).","High-resolution epitope maps of antibodies against Ebola glycoprotein (GP), determined using shotgun mutagenesis epitope mapping. Epitope maps provide data for determining mechanism of action (MOA).",0.8447265625
12682,"Cultivation of rice, Oryza sativa (Oryzoideae: Oryzeae), in Cambodia","Cultivation of rice, Oryza sativa (Oryzoideae: Oryzeae), in Cambodia",0.837890625
2332,Whale directed the iconic horror film Bride of Frankenstein (1935),Whale directed the iconic horror film Bride of Frankenstein (1935),0.6689453125
90740,"Original charter S 416, written by ""thelstan A"" in hermeneutic style in 931","Original charter S 416, written by ""thelstan A"" in hermeneutic style in 931",0.8291015625
85622,Buildings destroyed in the riots,Buildings destroyed in the riots,0.8388671875
54785, Panorama of Matewan West Virginia Historic District, Panorama of Matewan West Virginia Historic District,0.81640625
86886,Hurricane Humberto shortly after peak intensity on September12,Hurricane Humberto shortly after peak intensity on September12,0.865234375
1886,Steamboat Geyser in Yellowstone National Park,Steamboat Geyser in Yellowstone National Park,0.86328125
1018,"Cast of seasons one through three, left to right: (top) Shelley Long, Ted Danson; (middle) Rhea Perlman, Nicholas Colasanto; (bottom) George Wendt, John Ratzenberger","Cast of seasons one through three, left to right: (top) Shelley Long, Ted Danson; (middle) Rhea Perlman, Nicholas Colasanto; (bottom) George Wendt, John Ratzenberger",0.9951171875
2422,"The assassination of the Minister of the Interior, Milorad Drakovi, led to the outlawing of the Communist Party.","The assassination of the Minister of the Interior, Milorad Drakovi, led to the outlawing of the Communist Party.",0.68798828125
73037,"Exports of apparel per capita to the US market from leading garment-manufacturing countries, 19892009.","Exports of apparel per capita to the US market from leading garment-manufacturing countries, 19892009.",0.822265625
100147,"A Crusader tank in open desert, masquerading as a truck in its 'Sunshield' camouflage covers, 1942","A Crusader tank in open desert, masquerading as a truck in its 'Sunshield' camouflage covers, 1942",0.92578125
53682,Taapaca rises above Putre,Taapaca rises above Putre,0.70068359375
5990,"A government sign in Tangshan Township: ""For a prosperous, powerful nation and a happy family, please practice family planning.""","A government sign in Tangshan Township: ""For a prosperous, powerful nation and a happy family, please practice family planning.""",0.78173828125
68417,"The Order of St. Louis, from the Bourbon Restoration.","The Order of St. Louis, from the Bourbon Restoration.",0.84228515625
47549,"In-game screenshot, showing the player fighting Amigo from Samba de Amigo.","In-game screenshot, showing the player fighting Amigo from Samba de Amigo.",0.9130859375
84001,Spillway structure at Medicine Creek Dam,Spillway structure at Medicine Creek Dam,0.80810546875
88707,Nadia Ali has collaborated twice with Armin van Buuren on his albums Shivers and Mirage.,Nadia Ali has collaborated twice with Armin van Buuren on his albums Shivers and Mirage.,0.61572265625
92219,Literary Hall,Literary Hall,0.71826171875
89487,The cover of the DVD box set comprising the first eight series and every Christmas special,The cover of the DVD box set comprising the first eight series and every Christmas special,0.6513671875
8815,"Portrait by Jean-Baptiste Debret of Pedro around age 18, c.1816","Portrait by Jean-Baptiste Debret of Pedro around age 18, c.1816",0.76123046875
4981,Full extension,Full extension,0.681640625
99979,Camp 1914,Camp 1914,0.642578125
103099,"Map plotting the track and the intensity of the storm, according to the SaffirSimpson scale","Map plotting the track and the intensity of the storm, according to the SaffirSimpson scale",0.7666015625
15244,"Fig. 7. Tektronix graphics terminals used the earliest commercial implementation of HSL, in 1979. This diagram, from a patent filed in 1983, shows the bicone geometry underlying the model.","Fig. 7. Tektronix graphics terminals used the earliest commercial implementation of HSL, in 1979. This diagram, from a patent filed in 1983, shows the bicone geometry underlying the model.",0.7236328125
102995,"One of Hamel's four Cedar Tree paintings on the Tea Counter at Fortnum & Mason, Piccadilly","One of Hamel's four Cedar Tree paintings on the Tea Counter at Fortnum & Mason, Piccadilly",0.90771484375
73534, View from the Moravian Brethren Mission House to the east-south-east, View from the Moravian Brethren Mission House to the east-south-east,0.55859375
53567,Heikki Kovalainen leads McLaren teammate Lewis Hamilton in the early laps.,Heikki Kovalainen leads McLaren teammate Lewis Hamilton in the early laps.,0.88916015625
97330,Among the album's inspirations were the deaths of David Bowie (left) and Prince (right).,Among the album's inspirations were the deaths of David Bowie (left) and Prince (right).,0.69091796875
79374,"Raleigh's First Pipe in England, 1859","Raleigh's First Pipe in England, 1859",0.5732421875
5318,Map of global wine production in 2013,Map of global wine production in 2013,0.8134765625
98832,An SOR TNB 12 trolleybus on the opening day of the new system,An SOR TNB 12 trolleybus on the opening day of the new system,0.7802734375
94578,"May Mukle with cello, from a 1919 publication.","May Mukle with cello, from a 1919 publication.",0.95654296875
68617,Johnny Galecki and Jim Parsons guest starred.,Johnny Galecki and Jim Parsons guest starred.,0.82421875
27547,The Boston Red Sox were honored at the White House by President George W. Bush following their 2004 World Series victory.,The Boston Red Sox were honored at the White House by President George W. Bush following their 2004 World Series victory.,0.74169921875
80136,The IBA is an important area for pied oystercatchers.,The IBA is an important area for pied oystercatchers.,0.87841796875
90033,"The Capture of the Beavers, Egerton R. Young's Winter Adventures of Three Boys in the Great Lone Land (1899)","The Capture of the Beavers, Egerton R. Young's Winter Adventures of Three Boys in the Great Lone Land (1899)",0.8564453125
100891,"Florence as a Category3 hurricane at 16:30UTC on September5 (left) and as a rapidly weakening hurricane at 14:05UTC the following day (right). Strong wind shear displaced all convection to the north and east of the circulation, rendering its surface circulation exposed.","Florence as a Category3 hurricane at 16:30UTC on September5 (left) and as a rapidly weakening hurricane at 14:05UTC the following day (right). Strong wind shear displaced all convection to the north and east of the circulation, rendering its surface circulation exposed.",0.8935546875
4503,Interior of a 601,Interior of a 601,0.64990234375
26007,back side,back side,0.5830078125
17337,A protestor's sign during a march for housing,A protestor's sign during a march for housing,0.86328125
79579,Satellite imagery of Maria as a Category 1 hurricane,Satellite imagery of Maria as a Category 1 hurricane,0.8564453125
70981,Unified WWE Tag Team Champions The Hart Dynasty faced Chris Jericho and The Miz.,Unified WWE Tag Team Champions The Hart Dynasty faced Chris Jericho and The Miz.,0.771484375
97332,Lorde performing at the Osheaga Festival in 2017,Lorde performing at the Osheaga Festival in 2017,0.8564453125
18561,Krystian Zimerman in 2018,Krystian Zimerman in 2018,0.8046875
56235,Attendance for each home game of the 20112016 seasons,Attendance for each home game of the 20112016 seasons,0.55126953125
65983,"Fruit-piercing moth (Eudocima materna) seen near guavadilla vine (Passiflora edulis flavicarpa) in Durban, South Africa","Fruit-piercing moth (Eudocima materna) seen near guavadilla vine (Passiflora edulis flavicarpa) in Durban, South Africa",0.75732421875
60332,"An air battle, 1940.","An air battle, 1940.",0.7021484375
38269,"Layout of Unas's mortuary temple. In order: (1) Granite doorway built by Teti; (2) Entrance hall with (5a and b) storerooms to the north and south; (3) Courtyard with (4) eighteen granite columns; (6) Transverse corridor; (7) Chapel with five statue niches; (8a, b and c) Storerooms of the inner temple; (9) Antichambre carre with central column; (10) Offering hall with (11) false door bearing a protective inscription; (12) Cult pyramid; and (13) Courtyard surrounding the pyramid complex.","Layout of Unas's mortuary temple. In order: (1) Granite doorway built by Teti; (2) Entrance hall with (5a and b) storerooms to the north and south; (3) Courtyard with (4) eighteen granite columns; (6) Transverse corridor; (7) Chapel with five statue niches; (8a, b and c) Storerooms of the inner temple; (9) Antichambre carre with central column; (10) Offering hall with (11) false door bearing a protective inscription; (12) Cult pyramid; and (13) Courtyard surrounding the pyramid complex.",0.7744140625
