context,participant,img_id,description,q_reconstructivity,q_relevance,q_irrelevance,q_imgfit,q_overall,q_oremainingqs,q_ogoodparts,q_obadparts,q_ocomments,article_text
Advertising,p14,soccer_in_progress1,A soccer field showing advertising billboards in the background.,2,1,5,5,1,What does the ad say? What colors are on the ad?,"Soccer field reference is helpful, billboard is helpful",Does not deepen my understanding of the ad presented,NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p7,soccer_in_progress13,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,3,2,3,4,2,What ads?,NA,"No focus on salient content, the ads. Unnecessary to count the heads; could have been more concie.",NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p11,soccer_in_progress13,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,4,5,5,5,5,CanAre the ads visible enough to describe?,It was concise.,NA,NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p10,soccer_in_progress1,A soccer field showing advertising billboards in the background.,3,2,5,4,2,"What are the advertisements on the billboards? Are they visible? If they are, I think it would provide context since this is an article potentially used for research.",Description was concise,What advertisements are being shown? I think it is relevant here.,n/a,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p6,soccer_in_progress1,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,5,5,5,5,4,Assuming you can't see the stadium or any other details say to tell in which stadium this picture is from.,Good description as long as that is mainly what you can see.,I wonder if other details are visible such as what stadium or team this is.,NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p15,soccer_in_progress1,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,3,2,5,2,3,Are there any ads in the background?,It describe hte standing and the action.,It's unclear where there might be aspects of advertising here. Perhaps there is a billboard or something somewhere but that's purely speculation.,NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
American cuisine,p7,laid_table14,A table is set with a large turkey while a person is opening a bottle of wine.,4,4,5,4,4,Any cuisine pictured other than the turkey?,NA,NA,NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p12,laid_table12,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",4,4,5,4,4,No question.,They described very well what is on table.,Not bad.,No comment.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p16,laid_table12,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",4,4,5,2,4,"What cultural influence (African-American, Asian, Native American, etc.) does this picture of American cuisine depict?",The depth of which the food items are explained was beneficial.,"Given the contents of the article and how it described American cuisine, the picture chosen and its description did not depict it. Instead, it depicted a common Mediterranean meal (mostly vegetables and ground foods), which could distort the person with blindness/low vision's understanding of the article.",Perhaps adding a way to depict a diverse array of dishes that is more descriptive of the article could fix the aforementioned issues.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p2,laid_table12,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",2,3,2,4,3,"What kind of salads? Raw potatoes, or are they prepared in some way?Are pickles and olives in relish dishes, together or separate? What kind of pickles and olives? Peas prepared how? These all sound like sides, is there a main dish? Is this a large setting for a family meal or smaller? What kind of aesthetic might there be that could be useful in relation to the article?",Some larger context (a meal is set) and some specifics (listed food items) is nice.,"/nA is wholly unnecessary and distracting. Some clue as to how the foods in the image are prepared might be useful and relevant in terms of considering food origins, or other details in the image that may provide this information. “Salads” could be green, pasta, rice, potato, vegetable, meat or egg, etc., too vague. “Potatoes” is also way too vague and I just imagine a bowl of raw potatoes, which I hope to not find at my dinner setting. Pickles and olives I imagine on a relish tray, though who knows here?","Better than no description, still, leaves a lot to be desired.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p4,laid_table14,"A typical American dinner, as presented for a special occasion or holiday.",2,3,5,3,2,none,nothing in particular other than it was short,"just not very useful or interesting, but that again may be because the image itself is not useful or interesting",NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p8,laid_table14,"A typical American dinner, as presented for a special occasion or holiday.",1,1,5,4,1,NA,NA,No detail in what is presented as a typical American dinner so the concept is abstract.,The introduction paragraph is really vague and does not describe what American cuisine is that warrants an image yet.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p15,laid_table14,A table is set in a home and a turkey and wine are on the table.,2,3,5,3,3,Is there any ohter kind of food aside from turkey?,NA,I'm just wondering if there are any other things on the table.,NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p13,laid_table14,"A typical American dinner, as presented for a special occasion or holiday.",2,1,1,3,1,What is the typical american dinner? What does it look like? What is in the plate?,this image description needs a lot of improvement and I didn't find anything useful about it.,"Again, what is the ""typical American quizine"" and what does ""traditional cellebration"" look like? What if I didn't know what is in an American cellebration? If I were a recent immigrant, and wanted to reference this article in my personal research, I wouldn't know what to do about the image description as presented. Thanks",🥪 🍔 🍕,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p3,laid_table14,A table is set in a home and a turkey and wine are on the table.,4,3,3,3,3,are there other food and drink?,NA,"The type of wine, red or white, is left out.",NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p14,laid_table14,A table is set with a large turkey while a person is opening a bottle of wine.,4,3,5,3,4,Is the turkey cooked? Are there other people at the table?,"Simple language, direct and concise",N/A,"Slightly more info could be helpful, but not too much more","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p1,laid_table14,A table is set with a large turkey while a person is opening a bottle of wine.,5,3,5,5,3,Are there any other foods on the table?,Short and informative,"Given the breadth of the article, it seems there might be more in the picture, but perhaps all that is there is a turkey and wine.",NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p9,laid_table14,"A typical American dinner, as presented for a special occasion or holiday.",1,1,2,3,1,What does the meal look like? is it on a plate? many servings? what types of food is noticable?,n/a,A typical version isn't discriptive,n/a,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p6,laid_table12,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",5,4,5,5,4,Are there any other meal dishes or components?,Describes the specific food items well.,Just curious if there are other food items.,NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p5,laid_table14,A table is set in a home and a turkey and wine are on the table.,5,3,5,5,3,"Are there any indicators to determine how the turkey is being presented or how it might have been cooked?
What kind of wine is on the table?
Is the wine in a bottle?
Is there any other food or drink on the table?",I like that the image description is succinct with some location information of objects.,"The description is very basic and doesn’t provide enough specifics about the objects in the image. 
Is the wine in a bottle or has it been spilled on the table?
Is the turkey in a dish?
Is there any table cloth on the table?
Are there any place settings?",The description of the objects in the image don’t provide enough context to the title and content of the article.,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p11,laid_table14,A table is set in a home and a turkey and wine are on the table.,5,5,5,5,4,Is there anything else on the table?,Nothing to write home about.,"The sentence structure of the description sounded awkward, and I wonder if details were left out.",NA,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,p10,laid_table14,A table is set with a large turkey while a person is opening a bottle of wine.,4,4,5,5,4,"No additional questions, even though it's a short image","This is a shorter ddescription but I believe it captures the essence of the photo, unless there is additional food not described.","No, one of the most concise ones I read.","Definitely seems like it was written by a human, based on the conjunctions used. Would be good to try to get AI to replicate that.","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
Body of water,p13,mountains9,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",4,1,1,3,5,I don't have any questions about this image.,I really liked how the image is described. It shows a vast geographical region in two sentences.,"I don't know that the roads need to be described, but definitely makes sense to describe what surrounds the water.",NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p6,mountains9,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",4,3,4,3,4,More detail about the size and type of body of water.,Good description of the overall scene.,Need more detail about the type and features of the body of water.,NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p14,mountains18,A large river flowing across the land,3,2,5,5,2,What colors are involved? Is there anything surrounding the river?,Flowing across the land is helpful verbiage,I cannot visualize it because it sounds more fake than real description of a picture,NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p15,mountains18,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,3,4,5,5,3,I would wonder if the trees are green or if it's more of a wintery scene. Also daylight or nightime? Also what is a shallow hill or tree? Like space?,The fact htat it's a river running on the side of a specific geographical landmark.,"the wording is a little strange, not sure what they mean by shallow hills nad trees. Hills are low not shallow.",NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p5,mountains18,A large river flowing across the land,5,4,5,5,3,"What visual indicators exist in the image to define this body of water as a river?
Are there any descriptive elements of the land around this water body?","“Large river flowing across the land,” allows me to understand that the water is moving and that there is earth visible in the image.","“A large river flowing across the land,” seems too general and lacks the ability for the user to focus on other aspects of the image, e.g features of the land.","Although the image description is relevant to the article title and content, it lacks the ability to drill down and focus on specific objects in the image.","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p8,mountains9,A large body of water sandwiched between two large mountainous land masses.,5,3,4,5,1,NA,NA,Describing both the body of water and land masses as large didn't give me asense of size in relation to each other. The word sandwiched could be confusing for some people who might interpret it as being completely enclosed between two items like meat and bread in an actual sandwich.,NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p12,mountains9,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",5,4,5,5,4,Are there more green stuff?,This description is very good.,Not bad at all.,No comment.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p2,mountains18,A large river flowing across the land,2,3,3,5,2,What is meant by “large”? What is “the land”? Indicators of season? Time of day? Geography/location? Vegetation?,Better than nothing.,Just feels really incomplete.,Boring.,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p4,mountains9,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",4,3,3,2,2,why not describe the water more since that is the focus?,detials were good but focusedon less relevant parts of image,mostly irrelevant,none,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p3,mountains18,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,4,4,4,4,4,NA,Flowing river; valley of a mountain; shallow hills; trees,NA,NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p16,mountains9,A large body of water sandwiched between two large mountainous land masses.,4,3,3,4,2,What kind of water body is depicted? Is it still or moving?,It included a body of water in the description.,The description didn't identify which type of water body it is. The description did not depict but one form of water body.,"Perhaps including the term stream, river, ocean, etc. would help this issue, especially because with only one representation of the article topic in the image the reader will not have much to go off of.","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p1,mountains9,A large body of water sandwiched between two large mountainous land masses.,5,5,5,5,5,NA,Great level of detail,NA,NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p10,mountains18,A large river flowing across the land,3,3,5,4,2,How deep is the river?,Image description is concise.,"TO me, this is a very generic description, and I may have more questions, but without knowing details I'm unsure as to what to ask to learn more.","This one is challenging. Since the article is about generic bodies of water, I'm not as sure how relevant a detailed description of the river needs to be. That being said, it would be good to provide a bit more info.","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p7,mountains18,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,5,5,5,5,5,NA,NA,NA,"Wish I didn't have to scroll past two instances of the image description in each page of this survey. If I needed a reminder i could scroll right back up :-)
Some responses you're getting that the image isn't super relevant may stem from the fact that the image (not the description) was a poor choice. So keep that in mind when parsing results","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p11,mountains18,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,5,5,5,5,5,"For once, I have no questions.",It was concise yet provided enough detail to be useful.,NA,NA,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,p9,mountains9,A large body of water sandwiched between two large mountainous land masses.,4,4,4,4,4,na,objects mentioned,na,na,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Building material,p3,church8,The image shows a relatively small church on the ground.,2,2,5,3,3,What does the church seem to be made of? Approximately when might the church have been built?,NA,NA,NA,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
