context,description,participant,img_id,q_reconstructivity,q_relevance,q_irrelevance,q_overall,imgstem,article_text
Advertising,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,p12,soccer_in_progress1,3,2,3,3,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,p11,soccer_in_progress13,4,5,5,5,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,A soccer field showing advertising billboards in the background.,p14,soccer_in_progress1,2,1,5,1,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,p1,soccer_in_progress13,4,1,1,4,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,p13,soccer_in_progress13,3,2,2,3,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,p7,soccer_in_progress13,3,2,3,2,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
American cuisine,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",p6,laid_table12,5,4,5,4,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",p16,laid_table12,4,4,5,4,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",p12,laid_table12,4,4,5,4,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",p2,laid_table12,2,3,2,3,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set with a large turkey while a person is opening a bottle of wine.,p7,laid_table14,4,4,5,4,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"A typical American dinner, as presented for a special occasion or holiday.",p4,laid_table14,2,3,5,2,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"A typical American dinner, as presented for a special occasion or holiday.",p13,laid_table14,2,1,1,1,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"A typical American dinner, as presented for a special occasion or holiday.",p8,laid_table14,1,1,5,1,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,"A typical American dinner, as presented for a special occasion or holiday.",p9,laid_table14,1,1,2,1,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set in a home and a turkey and wine are on the table.,p3,laid_table14,4,3,3,3,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set with a large turkey while a person is opening a bottle of wine.,p10,laid_table14,4,4,5,4,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set with a large turkey while a person is opening a bottle of wine.,p1,laid_table14,5,3,5,3,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set in a home and a turkey and wine are on the table.,p5,laid_table14,5,3,5,3,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set in a home and a turkey and wine are on the table.,p15,laid_table14,2,3,5,3,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set with a large turkey while a person is opening a bottle of wine.,p14,laid_table14,4,3,5,4,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,A table is set in a home and a turkey and wine are on the table.,p11,laid_table14,5,5,5,4,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02","American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
Body of water,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,p11,mountains18,5,5,5,5,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,p7,mountains18,5,5,5,5,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large river flowing across the land,p5,mountains18,5,4,5,3,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,p15,mountains18,3,4,5,3,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,p3,mountains18,4,4,4,4,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large river flowing across the land,p2,mountains18,2,3,3,2,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large river flowing across the land,p14,mountains18,3,2,5,2,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large body of water sandwiched between two large mountainous land masses.,p9,mountains9,4,4,4,4,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large river flowing across the land,p10,mountains18,3,3,5,2,river,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",p4,mountains9,4,3,3,2,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",p12,mountains9,5,4,5,4,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",p6,mountains9,4,3,4,4,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",p13,mountains9,4,1,1,5,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large body of water sandwiched between two large mountainous land masses.,p16,mountains9,4,3,3,2,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large body of water sandwiched between two large mountainous land masses.,p1,mountains9,5,5,5,5,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,A large body of water sandwiched between two large mountainous land masses.,p8,mountains9,5,3,4,1,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Building material,A traditional church made of brick with a tall steeple and a cross on top of it.,p1,church4,4,3,5,4,Dreifaltigkeitskirche_süd,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,"A building with various types of building material used including stone, brick, and metal.",p7,church8,2,2,5,2,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04","Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,A traditional church made of brick with a tall steeple and a cross on top of it.,p8,church4,5,4,1,1,Dreifaltigkeitskirche_süd,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,"A building with various types of building material used including stone, brick, and metal.",p4,church8,5,1,5,4,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04","Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,"A building with various types of building material used including stone, brick, and metal.",p15,church8,3,5,5,5,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04","Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,A traditional church made of brick with a tall steeple and a cross on top of it.,p13,church4,4,2,3,4,Dreifaltigkeitskirche_süd,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,The image shows a relatively small church on the ground.,p3,church8,2,2,5,3,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04","Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,p11,church4,5,5,4,4,Dreifaltigkeitskirche_süd,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
