"mistake_comments","startDate","rt_qs_wimage_seconds","q3_sliderval","q1_sliderval","img_file","enjoyment","q5_type","mistake_checkbox","q2_sliderval","botresponse","discr_checkbox","continue","endTime","age","rt_trial","comments","q4_sliderval","img_id","topic","education","q1_type","q5_sliderval","HitCorrect","q2_type","languages","rt_qs_noimage_seconds","q3_type","context","description","discr_comments","trial_number","startTime","rt_article_read_seconds","q4_type","timeSpent","anon_worker_id"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",17.991,"4|3","3|2","1599px-Paris_Notre-Dame_East_View_02.jpeg",1,"overall",FALSE,"5|5","correct: 1",FALSE,TRUE,1642131290713,36,36.98,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|4","church19","church","graduated_college","no_irrelevant","4|3",1,"reconstructive","English",16.288,"image_fit","Roof","A church is shown with a domed roof and dramatic spires",NA,11,1642127657521,2.701,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",19.967,"4|3","4|4","1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,41.806,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|3","church8","church","graduated_college","no_irrelevant","4|3",1,"reconstructive","English",18.827,"image_fit","Christian cross","A brown church has domes on the roof and they are topped with gold crosses.",NA,12,1642127657521,3.012,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",17.5,"4|3","5|5","Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg",1,"overall",FALSE,"2|2","correct: 1",FALSE,TRUE,1642131290713,36,40.846,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|2","laid_table3","laid_table","graduated_college","no_irrelevant","3|3",1,"reconstructive","English",18.828,"image_fit","Dinner","A group of men and woman preparing multiple dishes for people to eat.",NA,13,1642127657521,4.518,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",37.581,"4|3","1|2","Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,63.982,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|2","living_room11","living_room","graduated_college","no_irrelevant","3|3",1,"reconstructive","English",24.349,"image_fit","Window","A small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove.  Two large windows are in the back of the room looking out towards some trees.",NA,14,1642127657521,2.052,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",22.531,"5|4","5|5","guitar.png",1,"overall",FALSE,"2|2","correct: 1",FALSE,TRUE,1642131290713,36,41.473,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|2","guitar1","attention_check","graduated_college","no_irrelevant","2|2",1,"reconstructive","English",16.195,"image_fit","Guitar","An orange and white guitar and a brown and white guitar being played.",NA,15,1642127657521,2.747,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",14.919,"4|5","5|5","Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",1,"overall",FALSE,"3|3","correct: 1",FALSE,TRUE,1642131290713,36,37.206,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|2","mountains9","mountains","graduated_college","no_irrelevant","3|2",1,"reconstructive","English",17.188,"image_fit","Body of water","A large body of water sandwiched between two large mountainous land masses.",NA,16,1642127657521,5.099,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",15.172,"4|4","4|4","Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg",1,"overall",FALSE,"5|5","correct: 1",FALSE,TRUE,1642131290713,36,31.308,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|4","meeting_in_progress7","meeting_in_progress","graduated_college","no_irrelevant","4|4",1,"reconstructive","English",13.471,"image_fit","Cooperation","A group of people all sit at a large table working together as they all stare at their computers, as a slideshow is played in the background.",NA,17,1642127657521,2.665,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",14.688,"1|1","5|3","1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",1,"overall",FALSE,"3|3","correct: 1",FALSE,TRUE,1642131290713,36,39.48,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","1|1","soccer_in_progress13","soccer_in_progress","graduated_college","no_irrelevant","1|1",1,"reconstructive","English",12.638,"image_fit","Hairstyle","A group of men assembled on a soccer field wearing blue uniforms.",NA,18,1642127657521,12.154,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",21.264,"4|4","2|2","La_Trobe_Uni_Wikimeetup_March_2020.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,45.35,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|3","meeting_in_progress2","meeting_in_progress","graduated_college","no_irrelevant","3|3",1,"reconstructive","English",20.327,"image_fit","Consumer electronics","A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.",NA,19,1642127657521,3.759,"all_relevant",60.5532,"069937903483971"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",28.455,"5|5","5|5","1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",1,"overall",FALSE,"2|3","correct: 3",FALSE,TRUE,1642190081825,48,225.589,NA,"4|5","soccer_in_progress13","soccer_in_progress","some_college","reconstructive","5|5",1,"no_irrelevant","English",30.383,"all_relevant","Advertising","Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.",NA,1,1642187845851,166.751,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",22.208,"4|4","5|5","Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg",1,"overall",FALSE,"1|5","correct: 3",FALSE,TRUE,1642190081825,48,91.277,NA,"5|5","laid_table3","laid_table","some_college","reconstructive","4|3",1,"no_irrelevant","English",14.522,"all_relevant","Dinner","Chefs prepare plates of food.",NA,2,1642187845851,54.547,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",14.807,"5|4","5|5","La_Trobe_Uni_Wikimeetup_March_2020.jpg",1,"overall",FALSE,"4|5","correct: 3",FALSE,TRUE,1642190081825,48,33.589,NA,"5|5","meeting_in_progress2","meeting_in_progress","some_college","reconstructive","4|5",1,"no_irrelevant","English",15.039,"all_relevant","Furniture","a group of people sitting around a conference table  with laptops while looking back at the camera",NA,3,1642187845851,3.743,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",21.472,"3|5","3|3","1599px-Paris_Notre-Dame_East_View_02.jpeg",1,"overall",FALSE,"2|4","correct: 3",FALSE,TRUE,1642190081825,48,52.498,NA,"3|5","church19","church","some_college","reconstructive","3|4",1,"no_irrelevant","English",27.607,"all_relevant","Christian cross","A gothic style Cathedral seen through a courtyard.",NA,4,1642187845851,3.419,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",19.664,"4|4","5|5","1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",1,"overall",FALSE,"2|3","correct: 3",FALSE,TRUE,1642190081825,48,106.177,NA,"4|5","church8","church","some_college","reconstructive","5|4",1,"no_irrelevant","English",18.688,"all_relevant","Building material","There is a church that is seen alone and it is surrounded by mountains in the background. The materials of the church vary, oranges bricks can be seen along the side of the church going in a straight line and bricks are also used in all of the contour lines in windows and arcs. Some small portions of the church are cement but for the most part it looks like the church is made out of stone which is light brown.",NA,5,1642187845851,67.825,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",16.465,"4|4","5|5","Wohnzimmer_Fallada_1.JPG",1,"overall",FALSE,"4|5","correct: 3",FALSE,TRUE,1642190081825,48,266.347,NA,"5|5","living_room6","living_room","some_college","reconstructive","3|5",1,"no_irrelevant","English",15.636,"all_relevant","Interior design","A dining room with a round, wooden table surrounded by multiple wood chairs. A chandelier hangs above the table and a cabinet filled with tea sets is nearby. The room is connected to another room with full bookcases.",NA,6,1642187845851,234.246,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",13.558,"5|5","5|5","1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",1,"overall",FALSE,"5|5","correct: 3",FALSE,TRUE,1642190081825,48,106.806,NA,"4|5","laid_table12","laid_table","some_college","reconstructive","4|5",1,"no_irrelevant","English",87.329,"all_relevant","American cuisine","The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.",NA,7,1642187845851,5.919,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",34.516,"4|4","3|3","Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",1,"overall",FALSE,"4|5","correct: 3",FALSE,TRUE,1642190081825,48,86.358,NA,"4|4","mountains9","mountains","some_college","reconstructive","3|4",1,"no_irrelevant","English",29.437,"all_relevant","Montane Ecosystems","A montane ecosystem is shown, with lush green grass from the high rainfall and from having a body of water nearby.",NA,8,1642187845851,22.405,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",17.091,"5|4","4|4","guitar.png",1,"overall",FALSE,"5|3","correct: 3",FALSE,TRUE,1642190081825,48,35.559,NA,"5|5","guitar1","attention_check","some_college","reconstructive","4|4",1,"no_irrelevant","English",11.629,"all_relevant","Guitar","An orange and white guitar and a brown and white guitar being played.",NA,9,1642187845851,6.839,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",19.881,"3|5","4|4","640px-parc_agen.jpg",1,"overall",FALSE,"4|4","correct: 3",FALSE,TRUE,1642190081825,48,53.786,NA,"2|5","park1","attention_check","some_college","reconstructive","4|4",1,"no_irrelevant","English",28.952,"all_relevant","Sculpture","A park on a nice day with lots of grass and trees and a pond.",NA,10,1642187845851,4.953,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",14.157,"4|5","5|5","river.jpeg",1,"overall",FALSE,"4|5","correct: 3",FALSE,TRUE,1642190081825,48,37.574,NA,"5|5","mountains18","mountains","some_college","reconstructive","4|5",1,"no_irrelevant","English",14.317,"all_relevant","Body of water","This shows a river cutting through some mountains.",NA,11,1642187845851,9.1,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",16.989,"2|4","5|5","Oberaargletscher_from_Oberaar,_2010_07.jpeg",1,"overall",FALSE,"4|4","correct: 3",FALSE,TRUE,1642190081825,48,62.26,NA,"1|3","mountains16","mountains","some_college","reconstructive","5|5",1,"no_irrelevant","English",23.359,"all_relevant","Orogeny","A body of water sits in front of a mountainous range, with snow at the top of the mountains. There is also clouds on the right side that is covering part of the mountains.",NA,12,1642187845851,21.912,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",25.326,"5|5","4|4","1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017.jpg",1,"overall",FALSE,"5|5","correct: 3",FALSE,TRUE,1642190081825,48,114.754,NA,"5|4","meeting_in_progress17","meeting_in_progress","some_college","reconstructive","4|4",1,"no_irrelevant","English",76.299,"all_relevant","Cooperation","Four men are working together in an office while using computers and white boards.",NA,13,1642187845851,13.129,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",17.539,"5|4","5|5","Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg",1,"overall",FALSE,"5|5","correct: 3",FALSE,TRUE,1642190081825,48,75.475,NA,"5|4","living_room11","living_room","some_college","reconstructive","5|5",1,"no_irrelevant","English",44.268,"all_relevant","Window","A cozy living room with four large windows allowing the area to be lit up by natural light.",NA,14,1642187845851,13.668,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",14.664,"4|4","5|5","1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",1,"overall",FALSE,"5|4","correct: 3",FALSE,TRUE,1642190081825,48,50.228,NA,"5|5","soccer_in_progress1","soccer_in_progress","some_college","reconstructive","5|4",1,"no_irrelevant","English",23.13,"all_relevant","Competition","Two soccer players are engaged in a competition on a playing field.",NA,15,1642187845851,12.434,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",23.793,"5|5","5|5","Dreifaltigkeitskirche_süd.jpg",1,"overall",FALSE,"4|5","correct: 3",FALSE,TRUE,1642190081825,48,49.303,NA,"2|2","church4","church","some_college","reconstructive","5|5",1,"no_irrelevant","English",21.05,"all_relevant","Roof","An old church next to lots of tombstones. The roof of the church is pointy and has a sign of the cross.",NA,16,1642187845851,4.46,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",18.047,"5|5","5|5","Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",1,"overall",FALSE,"5|5","correct: 3",FALSE,TRUE,1642190081825,48,35.623,NA,"5|3","laid_table14","laid_table","some_college","reconstructive","5|4",1,"no_irrelevant","English",11.525,"all_relevant","Tableware","Fine China tableware displayed on a dining room table.",NA,17,1642187845851,6.051,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",25.703,"4|5","5|5","1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",1,"overall",FALSE,"5|4","correct: 3",FALSE,TRUE,1642190081825,48,57.419,NA,"1|1","soccer_in_progress10","soccer_in_progress","some_college","reconstructive","3|4",1,"no_irrelevant","English",20.178,"all_relevant","Hairstyle","Three men are playing in a professional soccer game.  One of them in a red shirt has slid to the ground while the two in white shirts are defending.",NA,18,1642187845851,11.538,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 11:17:25 GMT-0800 (Pacific Standard Time)",35.893,"4|5","5|5","Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg",1,"overall",FALSE,"5|5","correct: 3",FALSE,TRUE,1642190081825,48,552.502,NA,"5|5","meeting_in_progress7","meeting_in_progress","some_college","reconstructive","5|5",1,"no_irrelevant","English",478.544,"all_relevant","Consumer electronics","A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.",NA,19,1642187845851,38.065,"image_fit",37.2662333333333,"168989005784368"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",60.046,"4|4","5|5","Dreifaltigkeitskirche_süd.jpg",1,"overall",FALSE,"5|5","correct: 5",FALSE,TRUE,1642190689608,48,118.523,NA,"4|4","church4","church","graduated_high_school","image_fit","4|4",1,"no_irrelevant","English",43.099,"reconstructive","Christian cross","a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",NA,1,1642189545456,15.378,"all_relevant",19.0692,"111252301713001"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",21.832,"2|2","1|1","La_Trobe_Uni_Wikimeetup_March_2020.jpg",1,"overall",FALSE,"5|5","correct: 5",FALSE,TRUE,1642190689608,48,65.938,NA,"2|1","meeting_in_progress2","meeting_in_progress","graduated_high_school","image_fit","1|1",1,"no_irrelevant","English",26.043,"reconstructive","Consumer electronics","a group meeting in a large conference room",NA,2,1642189545456,18.063,"all_relevant",19.0692,"111252301713001"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",24.555,"4|4","5|5","Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg",1,"overall",FALSE,"5|5","correct: 5",FALSE,TRUE,1642190689608,48,53.684,NA,"4|5","laid_table3","laid_table","graduated_high_school","image_fit","4|5",1,"no_irrelevant","English",23.81,"reconstructive","American cuisine","a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.",NA,3,1642189545456,5.319,"all_relevant",19.0692,"111252301713001"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",25.863,"5|5","1|2","1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017.jpg",1,"overall",FALSE,"1|2","correct: 5",FALSE,TRUE,1642190689608,48,80.787,NA,"4|4","meeting_in_progress17","meeting_in_progress","graduated_high_school","image_fit","2|3",1,"no_irrelevant","English",36.721,"reconstructive","Furniture","Four men hold a discussion inside a room. The room is painted white. They're using a white dry-erase board with a green marker. Two of them sit at a white table. 4 computers and one phone sit on the table. A large window offers a view of a bay.",NA,4,1642189545456,18.203,"all_relevant",19.0692,"111252301713001"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",16.717,"4|4","5|5","Oberaargletscher_from_Oberaar,_2010_07.jpeg",1,"overall",FALSE,"5|5","correct: 5",FALSE,TRUE,1642190689608,48,68.449,NA,"4|3","mountains16","mountains","graduated_high_school","image_fit","4|3",1,"no_irrelevant","English",17.72,"reconstructive","Montane Ecosystems","There is a passive set of mountain slopes with snow on top and between two mountains is a rift and a large body of water in forefront.",NA,5,1642189545456,34.012,"all_relevant",19.0692,"111252301713001"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",14.504,"4|4","5|5","1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",1,"overall",FALSE,"5|5","correct: 5",FALSE,TRUE,1642190689608,48,60.601,NA,"4|3","soccer_in_progress10","soccer_in_progress","graduated_high_school","image_fit","4|3",1,"no_irrelevant","English",15.44,"reconstructive","Advertising","A professional soccer match, with many banners along the sidelines that contain the names of various companies.",NA,6,1642189545456,30.657,"all_relevant",19.0692,"111252301713001"
NA,"Fri Jan 14 2022 13:45:45 GMT-0600 (Central Standard Time)",25.444,"4|4","3|2","Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg",1,"overall",FALSE,"5|5","correct: 5",FALSE,TRUE,1642190689608,48,59.103,NA,"4|4","meeting_in_progress7","meeting_in_progress","graduated_high_school","image_fit","4|4",1,"no_irrelevant","English",25.112,"reconstructive","Cooperation","A group of people all sit at a large table working together as they all stare at their computers, as a slideshow is played in the background.",NA,7,1642189545456,8.547,"all_relevant",19.0692,"111252301713001"
